dataset,model,balanced_accuracy
PhysioNet-MI,EEGNet,0.5814
PhysioNet-MI,EEGConformer,0.6049
PhysioNet-MI,FFCL,0.5726
PhysioNet-MI,LaBraM,0.6173
PhysioNet-MI,CBraMod,0.6174
PhysioNet-MI,CSBrain,0.6304
PhysioNet-MI,SpecMoE,0.6444
SEED-V,EEGNet,0.2961
SEED-V,EEGConformer,0.3537
SEED-V,FFCL,0.3641
SEED-V,LaBraM,0.3976
SEED-V,CBraMod,0.4091
SEED-V,CSBrain,0.4197
SEED-V,SpecMoE,0.4033
HMC,EEGNet,0.6534
HMC,EEGConformer,0.7149
HMC,FFCL,0.4427
HMC,LaBraM,0.7277
HMC,CBraMod,0.7269
HMC,CSBrain,0.7345
HMC,SpecMoE,0.7479
MACO,EEGNet,0.6659
MACO,EEGConformer,0.6119
MACO,FFCL,0.4325
MACO,LaBraM,0.6250
MACO,CBraMod,0.7645
MACO,CSBrain,0.6926
MACO,SpecMoE,0.8527
DA-Pharmaco,EEGNet,0.4816
DA-Pharmaco,EEGConformer,0.5597
DA-Pharmaco,FFCL,0.3074
DA-Pharmaco,LaBraM,0.4601
DA-Pharmaco,CBraMod,0.5344
DA-Pharmaco,CSBrain,0.4526
DA-Pharmaco,SpecMoE,0.6229
BCIC2020-3,EEGNet,0.4413
BCIC2020-3,EEGConformer,0.4506
BCIC2020-3,FFCL,0.4678
BCIC2020-3,LaBraM,0.5060
BCIC2020-3,CBraMod,0.5373
BCIC2020-3,CSBrain,0.6004
BCIC2020-3,SpecMoE,0.6262
TUAB,EEGNet,0.7642
TUAB,EEGConformer,0.7758
TUAB,FFCL,0.7848
TUAB,LaBraM,0.8140
TUAB,CBraMod,0.7891
TUAB,CSBrain,0.8172
TUAB,SpecMoE,0.7742
SIENA,EEGNet,0.7487
SIENA,EEGConformer,0.7556
SIENA,FFCL,0.6616
SIENA,LaBraM,0.7082
SIENA,CBraMod,0.7317
SIENA,CSBrain,0.7662
SIENA,SpecMoE,0.8655
SEED-VIG,EEGNet,0.2847
SEED-VIG,EEGConformer,0.2829
SEED-VIG,FFCL,0.2885
SEED-VIG,LaBraM,0.2871
SEED-VIG,CBraMod,0.3057
SEED-VIG,CSBrain,0.2774
SEED-VIG,SpecMoE,0.1522
